Text,Sentiment (POS/NEG/NEU)
mummy bhe yahin say lay k jati theen,neu
ye lena hai,neu
Allah uh k naseeb achy krn Ameen,pos
ye to meri jan khuwab main b milny k chance ne,neu
Khwab me na milay sachi me mil jaye,neu
Allah kry mill jaen Ameen,pos
Sab ko.apna apna lgta hi hoga pyara,neu
Yr bht hi acha advertised h,pos
mjhy ya chahiye,neu
lBA chlna mere sth,neu
Ya milega wahan ??,neu
Ho sqta h koi china copy mil jai,neu
Mjhy original copy hi chahiye,neu
Tma is sa acha mily ga mere haseen dst,neu
1 jumlay ma 2 achi batain wo b tm bola. .. gazab hogaya. . Ameen suma ameen,neu
Kbhi kbhi jhoot bolna prta h,neu
Ya bolo galti se sach nikal gaya mu se,neu
Shan Khushiyaan Chakh Lo,pos
is ka numbr dy do shan walo,neu
Faisalabad main tou BurgerLab nai ha,neg
Iss burger ko khany k liye mounh (mouth) kisi jak sey kholna perhy ga,neu
"Dikhnay mein bara hai, asal mein nahin",neu
ager aisa jaisey aap kah rahy hain phir theek hai,neu
Kahna kea chahty ho bhai,neu
ye kehna chahte hain k sara paisa inko dedo,neu
kia scene ha,neu
Hamare area me ap delivery dete hi nahi...we can't avail this offer,neg
Lagta hy testy hy,neu
Smjh ni i,neu
mry lye b mngvaalna,neu
bhai kis kam p lg gya h tu,neu
kuch yad agya mujhy,neu
tm sb paindu ho,neu
Kb tak valid ha ye offer ?,neu
is ma tax nahi ha wo add Kar ka 1250 ka ha,neu
tmhry kal ka intezam hogya,neu
Sb se fariq taste inhi ka hy,neg
kio nai khul rha ye,neg
maheeny hogaye announcement ko,neu
Kaka reply ni kr rha,neu
Wohi contact kr sakta itni high profile celebrity sy,neu
kab khila rahi hoo,neu
jb tm le ao..... Apny hath s khilaaungi pakka Wala wada,neu
mery braces itna bara burger khany ki ijazat nhi dety mjhe,neu
to tum koi chota mangwa lena,neu
aisy burgers ki pictures dekh ky rona ata hai mjhe,neu
Tu kal yeh khila rha,neu
acha kal ata hun phr karty hain kuch,neu
number nhi pata mujhe,neu
haas kya raha hai,neu
Bohat acha hua tere sath sala junior milta nahi hai,neu
abay ja  tu khud nae milta,neu
Ye na thi hmari qismat k wisal e yar hota,neu
kal har halat mein ye try krna ha jo b hojai,neu
khila daina bahi kar lain ga try,neu
meny ni krna try mujy pta ha kisi kam ka ni,neu
bus phir sahi hau,neu
mjhy treat dou Meri baddy ki,neu
yahan mai pighal jati hun,neu
kuch to khayal kro......,neu
bhai apka khayal hi kr rahe hain. Apka ilaj jo chal raha haii.,neu
yeh deal kb tk k liye hai?,neu
Kuch smjh nhe arha kia likha ha,neu
ameer tm chal rhay ho,neu
hamare wqt yad h,neu
Abe mat khana isme beef wala kharab hai,neg
Wese bhi hm char hi hutyn hyn,neu
Achaw ye tw nai andaza mjhe,neu
yahan hi chalty hen phr,neu
Chorrrr sab chotey chotey burgers,neg
mid kay baad rakhay kya kehta h Ahmad tb tk free ho sktay hain sb hna,neu
chal bhai jb marzi,neu
tb tk offer valid ni ha,neu
yrr wo mnay parha hi ni,neu
puri tayyari K sath ap log paish e khidmat hain,pos
zindagi mein pahli daffa koi kaam kar do mera,neu
koi faida nai phir tumhara humy,neu
dekh anju sab ghalat ho raha hai,neu
han dkh rha ab aa k ye sahi krga,neu
aby yeh burger lab Waly bhi mazy lerhy yr,neu
thk nhi horha londy ky. Sath,neu
ab wo b kia krein sahi nam pr discount rekh diye uhnone to,neu
Aby barbad hongy daikh liyoooo,neu
han dekh liya chal usi ko pakarlo,neu
25% off dydiya burger lab walon ny,pos
yar chalain kisi din phir,neu
apkay pas bhi moqa hai,neu
dekh sirf tje discount mil raha h,neu
laikn msla yahan ata hai mbl mai storage nahi,neu
koi to acha kaam kia tm nai,neu
bhai aj tu bohat acha kiuu lgg raha mjhy,neu
kya khayal hy phir,neu
legit deal ha yr,pos
value hi barh gai usman ki yawr,neu
Burger lab bohat zabardast,pos
menay bohat dafa complain ki ha burger lab pe staff or policies k halwalay se lekin koi response nai dia.,neg
yar avg 350 Rs ky burger may kea jaan lo gay.,neu
isko kesey pata healthy ha... isnay bntay dekha ??,neu
aap k hote howe kia ho rha he,neu
Abi tk order deliver nh hua two weeks ho gye,neg
Ap ne meray sawal ka replay nai dia messenger pe,neg
Bekar cheez ha,neg 
bohat buri management ha ,neg
Koi Design tu share karin,neu
waistcoats sale pe kyun nai ha?,neu
kia ye stores pe ha?,neu
sirf online ha stores pe nai ha ye?,neu
kia ye sale pe dastiyab honagay blessed friday ko?,neu
ye abhi decide nai hua ha,neu
me ye brand use kar raha hoon bohat zabardat or calssic ha,pos
agar me online order karun to kitna time lagay ga delivery me?,neu
delivery me kam az kam 3 din or ziada se ziada 5 din lagtay hain,neu
jo chiz hay hi 3thousand wo 8hzar k likh kay 2900 kr di.pehli dafa mayosi hui brand say.,neg
ma to har dafa mayous hota hoon,neg
right last year ye dramay bazi nhi thi,neu
ye chez bilkul thk kahi apne sale me dhoka he hota hai,neg
bht afsos hoa phr to,neg
Fazool qisam k dresses per discount laga detay hain,neg
Last year MN ny 4500 ki zinc color me ek jarsi li the dinner sy but first wash me he os ka color Sara ghyeb aur white line ban gai wapsi I.lie clam Kia tu ap logo NY bohat betmeezi ki Kia itny mihngy brand ki cheez b kherab he honi ha banda phr 1000 ki jarsi ly ly jo 10saal bad b color kherab nhe hota,neg
Apky bhtijon k b a gy hn kpry,neu
40% off Hy abi kids k kapro py,neu
ye suite website pe nai dikh raha,neu
Is ka code bta dain,neu
Kia ye rawalpindi sadar main shop p available hy?,neu
sir me apko saddar branch rawalpindi ka contact number de raha hoon ap un se contact kar saktay hain,neu
mardan or peshawar me store kis jahag ha?,neu
bohat piyar color ha,pos
ye regular ha ye slim fit ha,neu
please show sole ki quality ko improve karen..price k hisab se shole ki quality bohat bekar ha,neg
shirt or pents ki price kia ha?,neu
me ye full dress khareedna chahata hoon ,neu
ap hamaray order kab deliver karengay?,neu
menay 1 royal blue or 1 lite brown trouser order kia tha or inho ne mujhay green or grey bhej dia,neg
meray order kab ayega?,neu
dhoke baz brand,neg
yahan koi 300 ya 700 wali deal nai ha,neu
kia mazak ha... sirf kuch deal he 990 ki han wo b bekar quality k sath,neg
Kb tk hy off ?,neu
Kya deal hy?,neu
bohat he irresponsible shipping compay diners istimal karti ha ,neg
menay 9 din pehaly order kia tha advance payment pe lekin abi tak order nai aya,neg
kia apne paisay advance me diye thay?,neu
Cod kia kro online hamesha,neu
cod sahi tarika ha pay karnay ka,neu
aj mujhay apna order mila ha out class shirt ha maza agaya,pos
pent bhe ly ly 40%off hy,neu
Or apny ordr kis din kia tha?,neu
dear mane Jo li uski price 1917 th,neu
Mjhy abi tk nh mila,neg
aj 8 oct  ha n still mjy ordr rcv nh hua,neg
Price b mntn krn sath,neu
White.winter shalwar and Kameez ki pic bjo,neu
2 sal k bachay k liye pant shirt available ha?,neu
"Jis colr ki belt ho wysy hi shoes pyhnty hain ,,dresing k b asool hoty hain sir",neu
Faisalabad me ap ki shop rcg k ilawa kha he,neu
menay eid pe 70 hazar ki shopping ki thi is ghatiya brand se sari cheezen bekar hain ,neg
agar apko kuch change karna ho to diners ki team response nai deti,neg
"Flat nhn h, sirf kuch atoms pe discount h",neu
menay order kara tha but koi jawab nai aya,neg
zabardast brand white shirt lao yr.. kb say bola hoaa hh.,pos
me black valvet suite khareedna chahata hoon kia wo available ha?,neu
bekar management ha,neg
menay 40 din pehlay order kia tha lekin abi tak order nai aya,neg
batane ka shukria,pos
tone konsi leni thi,neu
Yar kya hai jazbat me ab lene Wala tha,neu
apko koi legal action lena chahiye,neu
apki products asli hoti hain,pos
mujhay pehlay he pata tha,neu
ye log kesay courier service use kar rahay hain ap k name k sath?,neu
Or menay yahan se jacket order ki thi,neu
Mainy b mngwai hui,neu
zabardast ha apko surprise milay ga,pos
aj he mujhy apni jacket mili ha,neu
Jo chez diners outlet sy purchase Karo wo bi defected nekal ATI Hy,neg
kise ko tu Mafi Da dia kro Sarkar,neu
asli ka kesay pata chalay ga?,neu
aby o idr b window shopping krny aya h kiya,neu
Kaprey milty Hain yehan se jahil ... Window NH milti,neu
tere is joke p booht hansi aa rhi ha,neu
Mein apk outlet se purchse ki h wahan pent colour kharwb hogy 4 dafa asa hova h,neg
Range Kaha sy start hoti ha ?,neu
aj kuch shirts khariden hain..,neu
sardion ka stuff ka mile ga?,neu
kharab kaprey mile hain ...bekar,neg
store p ao phr sochte hn apko shirt deni b h ni,neu
jese aap beter smjy,neu
bhai tersy asaasy bht ziada haan i know,neu
asli nai ha,neg
diners ki polo shirt kharede hain bohat bekar stuff ha ,neg
40% flat discount ki sale kis date se shuru hogi?,neu
menay order kara tha 14 sep ko phir apki confirmation call bhi ai the but us k bad koi jawab nai mila,neg
kia ye sale abhi bhi chal rahi ha?,neu
sale khatam hogai ha,neu
har brand flat 50% de rahay hain or ap sirf 25%,neg
sir mujhay waistcoat chahiye,neu
me hyderi store gai thi lekin waha koi discount nai tha,neg
defence day k hawale se koi discout?,neu
sky blue kurta mojood ha?,neu
Quality m frk hy kia,neu
koi farq nai ha,neu
sirf service shoes pe he ap ko comfortable or resonable shoes mil saktay hain,pos
jab me bacha tha tab se service ki products le raha hoon,pos
menay black ndure khareda tha apkay lahore outlet se is saal ,neu
last week me nay dekha k wo damage hogaya tha jab k menay sirf aik do bar he use kia tha,neg
me wapis karane same store gaya tha but meray pas invoice nai thi to unhone saaf mana kardia,neg
manager ne meri request pe koi action nai lia or saaf mana kardia,neg
mujhay apki service se bohat mayosi hui,neg
shayad apko koi ehsas nai ha customer ko achi service denay ka,neg
apkay tarha k big brand asi harkaten karengay to koi apki service nai lega,neg
shayad apko koi parwa nai,neg
umeed karta hoon kuch positive reponse milega apki taraf se,pos
me or meri family ab koi product nai laygi service se,neg
apka staff bohat rude ha,neg
kal menay apki branch visit ki sleepers khareednay k liye lekin waha price different thi or website pe kuch or...disappointed,neg
apka toll free number koi nai utha ta,neg
me apkay arrogant manager k againt aik complain dena chahta hoon,neg
me bachpan se service ki products khareed raha hoon,pos
menay kal service se shoes buy kiye but wo front se kharab thay,neg
store manager se mujhay bohat disappointment hui,neg
yehi cheez meray sath bhi hui mall me unho ne replace karne se mana kardia,neg
same cheez meray sath hui dha lahore wali branch me,neu
menay service ki products 5 saal pehlay he chor di hain kharab quality ki waja se,neg
ye bohat jhot boltay hain ,neg
free delivery likhi hoti ha leki jab product ati ha to usme delivery charges include hotay hain ,neg
service shoes expire cheezen becha raha ha is sale me,neg
2 3 bar shoes pehanay k bad shoes bekar hojatay hain ,neg
menay company ko complaine ki to unho ne kahan sale items ki koi warranty nai hoti,neg
zabardast design or resonable price,pos
shoes bohat mehangay or ghatiya quality ,neg
me ab kabhi service se koi cheez nai khareedonga,neg
ye 1 month warranty detay hain or shoes 2 months bad he kharab hona shuru hojatay hain,neg
company ki taraf se koi compensation nai hota,neg
staff bohat acha ha or bohat variety ha sale pe,pos
bata se acha design ha service ka,pos
Ya kis jagah ha,neu
menay skin color k shoes khareeday tha service se but next din he uska color utarne lag gaya ,neg
me shop gai exchange karane but unho ne mana kardia,neg
counter men ne bohat rudly behave kia ,neg
Aisa kuch nhe he agar apne complained ki he to us pa focas hota he jald us jald customers ki problem solve ki jate he,pos
service bohat buri ha old design or bohat mehangay,neg
"G nhe its true, service ne koi response nhe dia tha USS waqt hee OK.i has face that.service Ki aesi koi best policy nhe hai Brother.",neg
menay formal shoes khareeday thay but 3 din bad he wo kharab hogaye...poor quality,neg
bohat achi quality zabardast look k sath,pos
service k sath mera bohat bura experience raha,neg
menay ye article kahreeda the sarghoda branch se but wo 2 din bad he lastic side se kharab hogaya,neg
repari k bad wo comfortable nai raha,neg
menay malir cantt wali branch visit ki bohat he bura experince raha,neg
salesmen ne fresh piece nikala to sole k neechay cockroch nikla,neg
"ma’am aapko chahiye tou aap hamaray UAN number pe call kar ke keh dein, humein tou allowed nahi hai stock mangana",neu
Kholi hui kiyun hai dukaan aap ne?,neu
Band kar ke beth jayein.,neu
ap logo ka bohat he bura attitude ha,neg
ap ki aik outlet pe shoes original price se ziada mehnagy mil rahay hain,neg
me or meri family ab kabhi bhi service ki proudcts use nahi karay gi,neg
inko customer treat karna nai atay,neg
ye khoobsurat or achay hain quality bhi achi ha,pos
service ki quality bohat buri ha or bohat bura staff ha,neg
manager ka behaviour bohat bura tha,neg
service ko action lena chahiye warna koi unki products nai lega,neg
kindly sir apne managers or staff ko tarin karen,neg
apkay outlet managers ko baat karne ki tameez nai ,neg
bohat he buri service or bohat he bura treatment,neg
sirf 2 ghantay bad he meray feets me pain shuru hogaya ha,neg
me service 22 saal se use kar raha hoon..best shoes in Pakistan,pos
serivice shoes ki koi quality nai ha,neg
apne paisay service shoes pe barbad mat karen,neg
Shoes ka dabba phatta hoa,neg
Shoppers available nai branch pe.. Kia itne bure halaat ho gae hen service k,neg
customers itne expensive shoes phatte dabbe or without shopper hath me le k Jaen,neg
Manager SamiUllah bohat rude ha,neg
Ap Kay pass Ak maha ki warnty hoti hai agar Koi issue ho to pair's change karwa lain jab demand ziyada ho to asay hona Koi Bari baat nhi hoti Ap jota lay Jain ap ko niya Mill Jay gha,pos
asa kuch nahi hy main nay 3rd june ko shoes leyai and claim de te 10june ko g9 markaz Islamabad main and main kal pohnay gaye to ulta shop wala badtamezi karnay lagha,neg
shoes 7days bad wapis keyai poray patay howay even sol say he alagh hogaye tay and upar say leather be kharab hogeya ta,neg
mujhyya kindly bataye in ke complaint kahan and kasi karni hy,neg
Agar ho sakay to plz us Jotay ki pick send kar dain inbox main,neu
ye bohat he buri quality or expired shoes baich rahay hain sale pe,neg
menay 6 pairs khareeday bohat he buri quality ....paisay zaya,neg
serivce customer ko achay se treat nai karta,neg
dusri products se ye boha achay hain,pos
menay ik complain inbox ki thi but apkay staff ne koi response nai dia,neg
me nai chahata k dosray log bhi apki service se nuqsan uthain ,neg
me apko shoes gift karna chahata hoon Jo just 2 hours chly. 4000 k liy thy Ndure k hein . 4 hours to chlty yar 1000 per hour kah skta bnda,neg
Apki outlet ny repair kiy again 2 din chaly bus.,neg
Aur repairable b nhe hein,neg
Plz apna address send krein head office ka,neu
shoes industry ka best brand ha,pos
Ghatiya tareen products,neg
bohat he bura attitude ha salesmen ka..customer ko loot rahay hain ye log,neg
achi shoes quality ha,pos
koi return policy nai ha inki,neg
Bht achi sleepers hyn service ki or price reasonable hyn... bht zbrdst,pos
service kabhi apni quality pe compromise nai karta,neg
main ne kuch month pehly servis say aik shoes Ndure lia tha takreeban 3000 ka city jacobabad say main kafi arsay say servis shoes leta araha hon lekn aaj tak esa jali shoes nahe dekha hai,neg
apko apna standard maintain karna chahiye,neg
purane or bohat mehangay shoes plz kuch bhi service se na khareedain,neg
me service 2006 se use kar raha hoon,pos
Jis k pass haram ka hai woh service ley,neg
puray Pakistan me sub se acha brand ha,pos
Sir Taxila me Jo christion hosptl k samny aplog ki outlet hy waha WO apni prices LGA k bthy hy hundrd rupee zada hy,neg
meri eid ki shopping service se he shuru hoti ha,pos
outlets managers bohat he unprofessional hain,neg
I just like it Achi branch se lein chez kabhi b complaint nahi hui koi b,pos
mujhay nahi pasand,neg
peso ki barbaadi hay koi bhi mat khareedo in say pesay zaya ho jaengay,neg
bilkul beekaar quality hay 3 month bhi nhi chaltay pehlay hi month khul gay,neg
bkwas ek din jo pair 1000 ka tha usy 1500 ka kr ky flat 30℅ off,neg
Me ne July 2017 me Aik Complaint fb per Send ke the. Lekin aap ke Team ne abhi tak Rabta nhi kia.,neg
Kia july2018 me aap ke Team Rabta kare ge?,neu
aik month baad e khrab ho gay or complaint ki to b koi responce nhe kiya,neg
jub b liye tout gae,neg
plz iss ko thkk kare,neg
shop..barii ni rahkee... mihyarr thk rahkee,neg
bari herat ki baat hy,neu
service local brand hn jb local brand hi logon k sath ye kry ge tu better nhi hum imported shoes buy kr ln,neg
Sir 70 persent sale kb lagy gi,neu
Kia online order nahi kar sakty,neu
Bilkul kar saktay hain!,neu
Liza py bhi sale hy?,neu
Sale ha service par,neu
Summer sale end ho gie hy ya abi hy,neu
Price kia hy?,neu
Inthai bqwass items hain laya hn sala hafta ni chly Doncolers bqwass items,neg
school shoes p b sale h,neu
Online sale products kahn h? Na google p arha h na apki web py,neu
Sale kb tk hai?,neu
Kab se start hui hai sale,neu
Ab mil rahi hain puri collection per unbelievable offers,pos
eid mubarak ho ap ko service walo ko,pos
Khaer mubarak!,pos
Bilkul sai kaha,pos
Jo bat hai,neu
In ko bhi Nazar agya magar hilal community walo ko Nazar nahi Ana,neg
300 ki koi chapal hai?,neu
Shetan Aazad ho gaya,neg
Sale lage gi kya,neu
Sab se barri sale kay sab se barray shoppers,neu
Sb bakwas hy sale k naam py ye lut rhy hn,neg
koi jhelum me b jogger or dres shoes ki bej diya kare,neu
Friday taimng kya hy,neu
Abhi bhe time hai,pos
mujhe aik joota chahiye yahan kisi k pas nahi jis k pas hai wahan mera size nahi,neu
Raseed k bina shoes change ho jaye ga,neu
price kuin nahe shoes pr,neu
2000 ka jora dusry din tut jay to wapis clam nhe ho ga.,neg
jo pasand ayega us py 10 percent,neu
Sunday ko shop kholi hoti hy kya,neu
atd me to koi sale nh hy servis shoes pe,neu
Kb sa kb tk ke hea sale,neu
R lahore mein khn py lgi sale,neu
Ye bary size mein b avail hsi,neu
Bannu me kaha mile ga,neu
Nihayat hi afsos k sath kehna parta hai ye article soloto py hai hi nhn sara soloto chaaan mara hai online store,neg
Ya adhi qimat hy mager yha ki sale to kuch aur hy . Misal Ky 1800 rs py 50?% 250 rs banaty hain,neu
Khushab main kahan mlay ga,neu
bai rawalpindi mein available hai,neu
Multan Ma Kahn mily GA,neu
Warsak road Peshawar may hn??,neu
waha pr nahe hain,neg
Mujy b chy hian kahan s melty hin,neu
7 size mil jay ga,neu
Bilal saab 1 mere lye b,neu
Kia 39 no ho ga,neu
Mujy ye wala e colr zarort ha,neu
Pic par or oti chez bejty or,neg
Har kism ky joty par sail hy kia,neu
Sale KB tk rehe gy,neu
Sambrial main kHa mily gy?,neu
lahore ma mil ja a ga,neu
kia khyl hy,neu
Acha hi bubloo,pos
to la a na bhai,neu
Soucha ja sakta ha,pos
Ya comment main share krni hai?,neu
Kdr see milte hn?,neu
Gulshan main servis shop kaha ha?,neu
kb tk Valid he ?,neu
In patwareyon ka door door tak sharam sy koi wasta nahi hy.,neg
65 number available hi Khan g,neu
"Jo log keeray nikal rahay hain, mujhay yahi style aur finishing walay shoes kisi aur brand men 1900 men dila day?",neg
Servise walon ki chalaaki chek kro.. Ek to expire shoes dosra Jo shoes 2 years pehlay 1500 k thay unhi pe 1999 ka tag laga k discount k sath 1500 ka he day rhay hen,neg
khoobsurat collection,pos
mujhay block color pasand ha,pos
bohat buri customer service ha,neg
mujhay khaadi ki kids collection pasand ha,pos
is suite ki kia price ha,neu
Web sight dekhay nahi dahtay,neg
mujhay small size chahiye,neu
is kurti ko kesay order karen?,neu
khaadi ka store aj khula ha?,neu
ye online available kyun nai hain?,neu
Loout mar mchii hoi ha inhoo nay,neg
pata nai kyu lalachh bard ra mera.,neu
mujhay khaadi me job chahiye,neu
ye stitche ha dekh kar aye hain,neu
kia ap ki koi shop uae me ha?,neu
ye konsa stuff ha?,neu
Kindly price b mention krr dia kren,neg
uper mention hain 3500,neu
mujhay khaddi ka fabric pasand nai ha,neg
1 bar dhulne k bad is ka color utar jata ha,neg
Y shirt kytny k hy?,neu
Fbric kn sa hi?,neu
900 ki kurtis bata kar sath 500 tax lain gay,neg
chalo laga lyty chkr,neu
Tu ye kurta show nahi hur,neg
Sale kb hogi dresses pai,neu
kaadi walo ka kapra bohat halka hogaya ha,neg
Shukar hay inclusive tax keh dia,pos
Yh waly clrz blkl b nae hn in 2000,neg
2000 ky suit per txt kitna hoga?,neu
ye konsa material ha?,neu
Please modal change kare,neg
Itne km prices,pos
fazool men mehnga dress h,neg
tu tmhe kn keh rha k lo yeah,neu
hadh krdi waise mein heran hoi hn,neu
kis cheez pr heran hoi hn,neu
Bera garaq kar diya hai website ka,neg
Mat loo bilkul acha nh lgyga tm par,neg
pesy zaya krogi,neg
inhi peson k tm mjhy gol gappy hi khila dyna,neu
Mjy dresses ki new range ka notification show nhe hta,neg
Yellow mn 13 to 14 dastiyab ha?,neu
Ya capra bazar main har jagha parha hy lay kay har koi kud shirt bana day kya paisy waste karne,neg
Inka kpro ma White trousers bht in Han,pos
Plz price kam karain,neg
shayad un kay liyae hay bhi nahi.,neu
Puri vedio tou bna lete,neu
"bhai nahi karna available, yeh sab khatam kardegi",neg
khobsorat logon ko b chahey,pos
ap ka liya free ha,pos
Mari skin oily ha,neu
Kahn sy mily gi,neu
Khaadi py tu ni ha,neg
Ye face py kia kam karta hai,neu
Winter sale kb hoge?,neu
hathi ke dant khaney ke or dikhaney ki ooooooorrrr,neg
Price Sath hi mention kr dia kerain,neu
"Konsy heeray lgy howay hn, qeemat bohat ziada ha",neg
stuff bhot acha hota ha...,pos
herry ni chaiye cstmrs ko,neg
Mein khadi he leti hn stuff ka na btao ap mjhy,neg
